Name,Property Name,Price URL,Price Offers,Trial Offer
Decodo,Residential Proxy,https://decodo.com/proxies/residential-proxies/pricing,"Pay as you go: $7/GB
2 GB$6/GB$12
8 GB$5.50/GB$44
25 GB$5.20/GB$130
50 GB$4.90/GB$245
100 GB$4.50/GB$450
250 GB$4/GB$1,000
500 GB$3.5/GB$1,750
1,000 GB$3/GB$3,000
2,000 GB$2.8/GB$5,600
5,000 GB$2.2/GB$11,000",3-day free trial
Decodo,Datacenter Proxy,https://decodo.com/proxies/datacenter-proxies/pricing,"Pay / GB:
10 GB$0.6/GB$6
50 GB$0.57/GB$28.5
100 GB$0.54/GB$54
250 GB$0.51/GB$127.5
500 GB$0.48/GB$240
1000 GB$0.45/GB$450
3000 GB$0.41/GB$1230
4000 GB$0.4/G$1600
5000 GB$0.39/GB$1950


Pay / IP:
100 IPs$0.035/IP$3.5
500 IPs$0.031/IP$15.7
1000 IPs$0.03/IP$29.7
2000 IPs$0.028/IP$56
4000 IPs$0.026/IP$105
8000 IPs$0.024/IP$195
15000 IPs$0.02/IP$300


Dedicated:
3 IPs$1.85/IP$5.55
10 IPs$1.75/IP$17.5
25 IPs$1.65/IP$41.25
50 IPs$1.55/IP$77.5
100 IPs$1.45/IP$145
200 IPs$1.35/IP$270
500 IPs$1.25/IP$625
1000 IPs$1.2/IP$1200
2000 IPs$1.15/IP$2300",14-day money-back
Decodo,Mobile Proxy,https://decodo.com/proxies/mobile/pricing,"Pay as you go: $8.0/GB
2 GB$7.5/GB$15
8 GB$7/GB$56
25 GB$6.5/GB$162.5
50 GB$6/GB$300
100 GB$5.5/GB$550
250 GB$4/GB$1000
500 GB$3.5/GB$1750
1000 GB$3/GB$3000
",14-day money-back
Decodo,ISP Proxy,https://decodo.com/proxies/isp-proxies/pricing,"Dedicated:
3 IPs$3.33$9.99
10 IPs$2.90$29
20 IPs$2.8$56
50 IPs$2.7$135
100 IPs$2.6$260
200 IPs$2.5$500
500 IPs$2.30$1,150
700 IPs$2.2$1,540
1000 IPs$2.10$2,100
2000 IPs$2.00$4,000

Pay / GB:
1 GB$3$3
10 GB$2.75$27.5
20 GB$2.5$50
50 GB$2.25$112.5
100 GB$2$200
250 GB$1.8$450
500 GB$1.6$800
1000 GB$1.4$1400
2000 GB$1.3$2600

Pay / IP:
10 IPs$0.47$4.7
50 IPs$0.4$20
100 IPs$0.35$35
500 IPs$0.33$165
1000 IPs$0.32$320
2000 IPs$0.3$600
4000 IPs$0.28$1120
8000 IPs$0.27$2160",14-day money-back
Bright Data,Residential Proxy,https://brightdata.com/pricing/proxy-network/residential-proxies,"Pay as you go: $8/GB
71 GB$7$499
166 GB$6$999
399 GB$5$1999
",7-day free trial
Bright Data,Datacenter Proxy,https://brightdata.com/pricing/proxy-network/datacenter-proxies,"Shared:
10 IPs$1.4/IP$14
100 IPs$1.0/IP$100
500 IPs$0.95/IP$475
1000 IPs$0.9/IP$900


Dedicated:
10 IPs$2.20$22
100 IPs$1.70$170
500 IPs$1.50$750
1000 IPs$1.30$1300

Pay/GB
Pay as you go: $0.6/GB
1 TB$0.51/GB$499
2 TB$0.45/GB$999
5 TB$0.42/GB$1999",7-day free trial
Bright Data,Mobile Proxy,https://brightdata.com/proxy-types/mobile-proxies,"Pay as you go: $8/GB
71 GB$7/GB$499
166 GB$6/GB$999
399 GB$5/GB$1999",7-day free trial
Bright Data,ISP Proxy,https://brightdata.com/pricing/proxy-network/isp-proxies,"Shared:
10 IPs$1.8/IP$18
100 IPs$1.45/IP$145
500 IPs$1.4/IP$700
1000 IPs$1.3/IP$1300

Dedicated:
10 IPs$3.5$35
100 IPs$2.75$275
500 IPs$2.6$1300
1000 IPs$2.5$2500

Pay/GB
Pay as you go: $15/GB
39 GB$12.75/GB $499
88 GB$11.25/GB $999
190 GB$10.5/GB $1999",7-day free trial
SOAX,Residential Proxy,https://soax.com/proxies/residential,"25 GB$3.6$90
50 GB$3.4$170
300 GB$2.46$740
800 GB$2$1600",3-day trial with $1.99 
SOAX,Datacenter Proxy,https://soax.com/proxies/datacenter,"145 GB$0.62$90
346 GB$0.49$170
1761 GB$0.42$740
4000 GB$0.4$1600",3-day trial with $1.99 
SOAX,Mobile Proxy,https://soax.com/proxies/mobile,"25 GB$3.6$90
50 GB$3.4$170
300 GB$2.46$740
800 GB$2$1600",3-day trial with $1.99 
SOAX,Web Data API,,"36k requests$1.3/1k$90
136k requests$1.25/1k$170
672k requests$1.1/1k$740
1.77m requests$0.9/1k$1600",3-day trial
IPRoyal,Residential Proxy,https://iproyal.com/pricing/residential-proxies/,"1 GB$7$7
2 GB$5.95/GB$11.9
10 GB$5.25/GB$52.50
50 GB$4.90/GB$245",
IPRoyal,Datacenter Proxy,https://iproyal.com/pricing/datacenter-proxies/,"30 Days$1.57/IP
60 Days$1.48/IP/month 
90 Days$1.39/IP/month",24-hour money-back
IPRoyal,Mobile Proxy,https://iproyal.com/pricing/mobile-proxies/,"24 Hours$10.11 
30 Days$130/month 
60 Days$123.50/month 
90 Days$117/month",24-hour money-back
IPRoyal,ISP Proxy,https://iproyal.com/pricing/isp-proxies/,"24 Hours$1.80/IP 
30 Days$2.70/IP/month 
60 Days$2.55/IP/month  
90 Days$2.40/IP/month ",
Proxy-Seller,Residential Proxy,https://proxy-seller.com/residential-proxies/,,
Proxy-Seller,Datacenter Proxy,https://proxy-seller.com/usa-proxy/,,
Proxy-Seller,Mobile Proxy,https://proxy-seller.com/mobile-proxies/,,
Proxy-Seller,ISP Proxy,https://proxy-seller.com/isp/,,
Webshare,Residential Proxy,https://www.webshare.io/residential-proxy,"1GB: $7.00/Mo
10GB: $60.00/Mo
25GB: $137.50/Mo
50GB: $275.00/Mo
100GB: $550.00/Mo
250GB: $1312.5/Mo
500GB: $2500.00/Mo
1000GB: $4500.01/Mo
3000GB: $13500.02/Mo
",2-day money-back
Webshare,Datacenter Proxy,https://www.webshare.io/dedicated-datacenter-proxy,"100 Proxies: $2.99/Mo
250 Proxies: $7.47/Mo
500 Proxies: $14.20/Mo
1,000 Proxies: $26.91/Mo
2,500 Proxies: $63.54/Mo
5,000 Proxies: $119.60/Mo
10,000 Proxies: $224.25/Mo
15,000 Proxies: $313.95/Mo
25,000 Proxies: $523.25/Mo
40,000 Proxies: $777.40/Mo
60,000 Proxies: $1076.40/Mo
100,000 Proxies: $1794.00/Mo
",10 free IPs with 1GB
Webshare,ISP Proxy,https://www.webshare.io/dedicated-static-residential-proxy,"20 Proxies: $6.00/Mo
50 Proxies: $15.00/Mo
75 Proxies: $22.50/Mo
100 Proxies: $30.00/Mo
250 Proxies: $75.00/Mo
500 Proxies: $142.50/Mo
1,000 Proxies: $270.00/Mo
2,000 Proxies: $510.00/Mo
3,000 Proxies: $720.00/Mo
5,000 Proxies: $1200.00/Mo
10,000 Proxies: $2250.00/Mo
",2-day money-back
Proxy-Cheap,Residential Proxy,https://www.proxy-cheap.com/pricing/rotating-residential-proxies,"1 GB: $4.99/IP
50 GB+: $3.99/IP
200 GB+: $2.99/IP
From 1 TB+: $2.49/IP
",14-day money-back
Proxy-Cheap,IPv4 Datacenter Proxy,https://www.proxy-cheap.com/pricing/datacenter-proxy-ipv4,"Standard Plan:
1 Month: $1.99/IP/Mo
12 Months: $1.66/IP/Mo

Premium Plan:
1 Month: $5.99/IP
3 Months: $5.99/IP
12 Months: $5.99/IP
",7-day trial with $1.13/IP
Proxy-Cheap,Mobile Proxy,https://www.proxy-cheap.com/pricing/rotating-mobile-proxies,"7 Day Trial: $30/IP
1 Month: $50/IP
12 Month: $50/IP",14-day money-back
Proxy-Cheap,ISP Proxy,https://www.proxy-cheap.com/pricing/static-residential-proxies,"Standard Plan:
1 Month: $3.49/IP
12 Months: $2.90/IP

Premium Plan:
1 Month: $9.99/IP
3 Months: $8.89/IP
12 Months: $7.79/IP
",7-day trial with $1.99/IP
Proxy-Cheap,Proxy Manager,,"Free
",
Proxy-IPv4,Datacenter Proxy,https://proxy-ipv4.com/en/#prices,,
Proxy-IPv4,Mobile Proxy,https://proxy-ipv4.com/en/mobile/,,
Proxy-IPv4,ISP Proxy,https://proxy-ipv4.com/en/isp/,,
Geonix,Residential Proxy,https://geonix.com/resident/,,
Geonix,Datacenter Proxy,https://geonix.com/proxy-usa/,,
Geonix,Mobile Proxy,https://geonix.com/mobile-proxies/,,
Geonix,ISP Proxy,https://geonix.com/isp/,,
Youproxy,Datacenter Proxy,https://youproxy.io/en/prices/?priceTabs=IPV4,,
Youproxy,Mobile Proxy,https://youproxy.io/en/prices/?priceTabs=MOBILE,,
Youproxy,ISP Proxy,https://youproxy.io/en/prices/?priceTabs=ISP,,
Rayobyte,Residential Proxy,https://rayobyte.com/products/residential-proxies#pricing,,
Rayobyte,Datacenter Proxy,https://rayobyte.com/products/datacenter-ips#dc_pricing,,
Rayobyte,Mobile Proxy,https://rayobyte.com/products/mobile-proxies#pricing,,
Rayobyte,ISP Proxy,https://rayobyte.com/products/isp-proxies#pricing,,
Myprivateproxy,Datacenter Proxy,https://www.myprivateproxy.net/private-proxies/,,
Buyproxies,Datacenter Proxy,https://buyproxies.org/panel/index.php?rp=/store/dedicated-proxies,,
Proxyline,Datacenter Proxy,https://proxyline.net/en,,
Instantproxies,Datacenter Proxy,https://instantproxies.com/pricing/,,
Shifter,Residential Proxy,https://shifter.io/pricing?product=residential-proxies&subproduct=special-backconnect-proxy,,
Shifter,ISP Proxy,https://shifter.io/pricing?product=datacenter-proxies&subproduct=static-residential-proxies,,
Marsproxies,Residential Proxy,https://marsproxies.com/pricing/residential-proxies/,,
Marsproxies,Datacenter Proxy,https://marsproxies.com/pricing/datacenter-proxies/,,
Marsproxies,Mobile Proxy,https://marsproxies.com/pricing/mobile-proxies/,,
Marsproxies,ISP Proxy,https://marsproxies.com/pricing/isp-proxies/,,
ProxyEmpire,Residential Proxy,https://proxyempire.io/pricing-table/,"Pay As You Go: $9/GB
$40/5GB: $8/GB
$150/25GB: $6/GB
$300/55GB: $5.45/GB
$600/120GB: $5/GB
$1250/300GB: $4.17/GB
$1750/500GB: $3.5/GB
$3000/1000GB: $3/GB
",100MB trial with $1.97
ProxyEmpire,Datacenter Proxy,https://proxyempire.io/pricing-table/,"$25/40GB: $0.625/GB
$55/100GB: $0.55/GB
$95/200GB: $0.475/GB
$225/500GB: $0.45/GB
$400/1000GB: $0.4/GB
$1750/5000GB: $0.35/GB
",
ProxyEmpire,Mobile Proxy,https://proxyempire.io/pricing-table/,"Rotating Mobile Plan:
Pay As You Go: $20/GB
$50/3 GB: $16.67/GB
$150/10 GB: $15/GB
$300/22 GB: $13.64/GB
$660/53 GB: $12.45/GB 
$1500/150 GB: $10/GB
$2550/300 GB: $8.50/GB
$4000/500 GB: $8/GB

Dedicated Mobile Plan:
USA 5G Mobile Proxies: $250/month
Multi-Country Package: $125/month
",50MB trial with $1.97
ProxyEmpire,ISP Proxy,https://proxyempire.io/pricing-table/,"1 IP: $2/month
$40/5GB: $8/GB
$150/25GB: $6/GB
$300/55GB: $5.45/GB
$600/120GB: $5/GB
$1250/300GB: $4.17/GB
$1750/500GB: $3.5/GB
$3000/1000GB: $3/GB
",
SimplyNode,Residential Proxy,https://www.simplynode.io/product/residential-proxies,,
SimplyNode,Mobile Proxy,https://www.simplynode.io/product/mobile-proxies,,
Proxy6,Datacenter Proxy,https://proxy6.net/,,
OculusProxies,Residential Proxy,https://oculusproxies.com/pricing/smart-residential-proxies,,
OculusProxies,Datacenter Proxy,https://oculusproxies.com/pricing/dedicated-datacenter-proxies,,
OculusProxies,ISP Proxy,https://oculusproxies.com/pricing/isp-premium-proxies,,
Toolip,Residential Proxy,https://toolip.io/pricing/rotating-residential-proxies,,
Toolip,Datacenter Proxy,https://toolip.io/pricing/dedicated-datacenter-proxies,,
Toolip,ISP Proxy,https://toolip.io/pricing/global-isp-proxies,,
Resiprox,Residential Proxy,https://resiprox.com/#pricing,,
